Timestamp,Email,TodayDate,MealType,StarTime,StopTime,Distraction,Weather,Feel,Food,FoodGroups,Calories,Carbs,Protein,Fat,OtherNutri,NumFruits,TypeFruit,Company,Location,HungerBefore,HungerAfter,LikeFood,Notes,Photo,Icons
2/16/18 2:43,nusaybah,2/16/18,Breakfast,12:45:00 PM,1:00:00 PM,Watching TV,Sunny,Good,Tea and toast,Grains,,,,,,0,,Alone,Home,6,10,,,https://drive.google.com/open?id=1TwE9jprfhjd5MbqNhLcYVyEFkr0yjKLN,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/16/18 6:36,nusaybah,2/16/18,Lunch,2:15:00 PM,2:35:00 PM,Watching TV,Sunny,Good,"Rice, fish and bottleguord curry","Protein foods, Vegetables, Grains",,,,,,0,,Alone,Home,5,10,,,"https://drive.google.com/open?id=1OBl27bgAp0eOUMTKcZH0sWceyoFgC2FY, https://drive.google.com/open?id=1RTt0P4MiEJ5jd5pV3gYP6Ufqa5i51dHD",https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/16/18 9:13,uranusbean,2/16/18,Breakfast,8:22:00 AM,8:30:00 AM,Commuting,Rainy,Happy,Bagel with peanut butter ,"Grains, Protein foods",220,45,9,1,,0,,Family,Car,3,8,,,,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/16/18 9:27,mengyue,2/16/18,Breakfast,8:30:00 AM,8:35:00 AM,Nothing,Cloudy,Peaceful,Milk and Oreo cookies,"Dairy, Grains",135,0.7,8,,,0,0,Alone,Home,6,7,,,https://drive.google.com/open?id=12YdJDcmpYak4frfkBYTO0GddiXFhpC2t,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/16/18 9:38,xiaohui,2/16/18,Breakfast,8:15:00 AM,8:30:00 AM,Talking,Rainy,Tired,Milk and bread,"Dairy, Grains",,,,,,0,,Family,Home,5,8,,,,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/16/18 12:19,nusaybah,2/16/18,Lunch,10:15:00 PM,10:30:00 PM,Watching TV,Cold,Good,Rice and fish,"Grains, Protein foods, Fruits",,,,,,1,Banana,Alone,Home,4,8,,,https://drive.google.com/open?id=1757ubsa1p2-0i-BaAWp5dd32Rg-rmRjT,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
2/16/18 12:51,uranusbean,2/16/18,Lunch,12:20:00 PM,12:38:00 PM,Working,Cloudy,Peaceful,"1 Chobani non-fat greek yogurt (cherry flavor), 2 eggs, 1 banana","Dairy, Protein foods, Fruits",360,44,25,9,,1,Banana,Alone,Eat at work,4,8,,Just finished my user study from work and went back to work place to have a light lunch. I was a little bit tired today due to slightly lack of sleep yesterday. ,https://drive.google.com/open?id=1RLuDdou0c5Cx2c7Rb3UnrRRI4US7oY0M,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/16/18 12:51,uranusbean,2/16/18,Lunch,12:20:00 PM,12:38:00 PM,Working,Cloudy,Tired,"1 Chobani non-fat greek yogurt (cherry flavor), 2 eggs, 1 banana","Dairy, Protein foods, Fruits",360,44,25,9,,1,Banana,Alone,Eat at work,4,8,,Just finished my user study from work and went back to work place to have a light lunch. I was a little bit Tiredtoday due to slightly lack of sleep yesterday. ,https://drive.google.com/open?id=1RLuDdou0c5Cx2c7Rb3UnrRRI4US7oY0M,https://drive.google.com/open?id=1azMad6-lwdx1OrlQelu6kz9Qmivy3pLn
2/16/18 13:00,farhajw,2/16/18,Lunch,12:45:00 PM,1:05:00 PM,Nothing,Cloudy,Worried,"Egg omelette(with tomato and mushroom), 1 roti, and small cup of milk tea","Protein foods, Vegetables, Grains",,,,,,0,,Alone,Home,3,8,,,https://drive.google.com/open?id=1j6bsKDISI0CD3gyIf-T-9ZF_8kma-ok5,https://drive.google.com/open?id=1YiLndvJ3nXC-MN8m4wSmrMo59IAtoZv9
2/16/18 13:30,khalidjawed,2/16/18,Breakfast,10:20:00 AM,10:40:00 AM,Nothing,Sunny,Good,"Roti, egg, chicken","Grains, Protein foods",,,,,,0,,Alone,Home,5,9,,,https://drive.google.com/open?id=1DXX3xcfWxfTKxDkaHdaTW_blp02PEfBh,https://drive.google.com/open?id=1u_XK2LlIU3w5hbRsGhTjcnTb4220-tJm
